"SEXO","EDAD","TAMUNI","INGRESHOG","TARHOGENTREV_HH","HIJOMENOR","SITLAB","NIVELESTENTREV","GRADACDISC","GRADODESIGUALDAD","VALSALARIOS","VALPOSASC","VALOPEMP","ESCFEMINIS","ESCIDEOL","RELIGION","CUIDADOHIJOS_HH","RECUVOTOG","NIVELESTENTREV_imp","GRADACDISC_imp","GRADODESIGUALDAD_imp","VALSALARIOS_imp","VALPOSASC_imp","VALOPEMP_imp","TARHOGENTREV_HH_media","ESCIDEOL_media","ESCFEMINIS_MEDIA"
"Mujer",28,"100001-400000 habitantes","2701-3900€",3,"Tiene hijos/as menores","Trabaja","Grado universitario","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",8,10,"Católico/a practicante",7,NA,"Grado universitario","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",3,10,8
"Mujer",60,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Trabaja","FP grado superior","Muy de acuerdo","Pequeñas","Peor","Peor","Igual",7,5,"Católico/a practicante",NA,"PP","FP grado superior","Muy de acuerdo","Pequeñas","Peor","Peor","Igual",3,5,7
"Mujer",50,"100001-400000 habitantes","2701-3900€",5,"Ninguno","Trabaja","FP grado superior","Nada de acuerdo","Bastante grandes","Igual","Igual","Peor",8,3,"Católico/a no practicante",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","FP grado superior","Nada de acuerdo","Bastante grandes","Igual","Igual","Peor",5,3,8
"Mujer",41,"100001-400000 habitantes","2701-3900€",2,"Tiene hijos/as menores","Trabaja","Diplomaturas oficiales","Nada de acuerdo","Pequeñas","Igual","Peor","Peor",7,4,"Ateo/a",12,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Diplomaturas oficiales","Nada de acuerdo","Pequeñas","Igual","Peor","Peor",2,4,7
"Mujer",19,"100001-400000 habitantes",NA,2,"Ninguno","Estudiante","Bachillerato","Poco de acuerdo","Bastante grandes","Igual","Peor","Igual",7,3,"Agnóstico/a",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Bachillerato","Poco de acuerdo","Bastante grandes","Igual","Peor","Igual",2,3,7
"Mujer",52,"100001-400000 habitantes","1100-1800€",2,"Ninguno","En paro, ha trabajado antes","Máster oficial","Bastante de acuerdo","Pequeñas","Peor","Peor","Igual",5,10,"Católico/a practicante",NA,"PP","Máster oficial","Bastante de acuerdo","Pequeñas","Peor","Peor","Igual",2,10,5
"Mujer",64,"100001-400000 habitantes","Más de 5000€",5,"Ninguno","Trabajo doméstico no remunerado","Bachillerato","Nada de acuerdo","Bastante grandes","Igual","Igual","Igual",10,1,"Católico/a no practicante",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Bachillerato","Nada de acuerdo","Bastante grandes","Igual","Igual","Igual",5,1,10
"Mujer",45,"100001-400000 habitantes","2701-3900€",2,"Ninguno","Estudiante","Educación secundaria","Poco de acuerdo","Muy grandes","Peor","Peor","Igual",10,NA,"Agnóstico/a",NA,"Otro partido","Educación secundaria","Poco de acuerdo","Muy grandes","Peor","Peor","Igual",2,4.77000264061262,10
"Hombre",41,"100001-400000 habitantes","1801-2700€",3,"Tiene hijos/as menores","Trabaja","FP grado superior","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",10,5,"Ateo/a",4,"En blanco","FP grado superior","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",3,5,10
"Hombre",60,"100001-400000 habitantes","2701-3900€",1,"Ninguno","Trabaja","Doctorado","Muy de acuerdo","Pequeñas","Igual","Mejor","Mejor",0,5,"Católico/a practicante",NA,NA,"Doctorado","Muy de acuerdo","Pequeñas","Igual","Mejor","Mejor",1,5,0
"Hombre",55,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Trabaja","Bachillerato","Poco de acuerdo","Muy grandes","Peor","Peor","Peor",7,5,"Católico/a no practicante",NA,NA,"Bachillerato","Poco de acuerdo","Muy grandes","Peor","Peor","Peor",3,5,7
"Hombre",33,"2001-10000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Bachillerato","Nada de acuerdo","Bastante grandes","Mejor","Mejor","Igual",5,4,"Católico/a no practicante",NA,"SUMAR (Podemos, IU, Más País, etc.)","Bachillerato","Nada de acuerdo","Bastante grandes","Mejor","Mejor","Igual",2,4,5
"Hombre",45,"2001-10000 habitantes","1801-2700€",4,"Tiene hijos/as menores","Trabaja","Grado universitario","Muy de acuerdo","Pequeñas","Igual","Igual","Mejor",4,5,"Católico/a no practicante",8,"N.C.","Grado universitario","Muy de acuerdo","Pequeñas","Igual","Igual","Mejor",4,5,4
"Hombre",46,"10001-50000 habitantes","1801-2700€",5,"Tiene hijos/as menores","Trabaja","Primaria","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",8,7,"Católico/a no practicante",4,"VOX","Primaria","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",5,7,8
"Hombre",21,"10001-50000 habitantes",NA,5,"Ninguno","En paro, busca primer empleo","FP grado medio","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,10,"Ateo/a",NA,"VOX","FP grado medio","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",5,10,0
"Hombre",39,"2001-10000 habitantes","2701-3900€",3,"Tiene hijos/as menores","Trabaja","Educación secundaria","Nada de acuerdo","Pequeñas","Igual","Peor","Igual",6,4,"Católico/a no practicante",9,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Educación secundaria","Nada de acuerdo","Pequeñas","Igual","Peor","Igual",3,4,6
"Hombre",21,"100001-400000 habitantes","Más de 5000€",1,"Ninguno","Estudiante","Bachillerato","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",10,10,"Católico/a no practicante",NA,"VOX","Bachillerato","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",1,10,10
"Hombre",47,"100001-400000 habitantes","3901-5000€",NA,"Tiene hijos/as menores","Trabaja","Licenciatura","Nada de acuerdo","Pequeñas","Peor","Peor","Peor",8,3,"Indiferente, no creyente",4,"SUMAR (Podemos, IU, Más País, etc.)","Licenciatura","Nada de acuerdo","Pequeñas","Peor","Peor","Peor",2.28715767083223,3,8
"Hombre",50,"100001-400000 habitantes","Más de 5000€",5,"Tiene hijos/as menores","Trabaja","Licenciatura","Muy de acuerdo","Muy grandes","Igual","Igual","Igual",8,NA,"Católico/a no practicante",NA,"PP","Licenciatura","Muy de acuerdo","Muy grandes","Igual","Igual","Igual",5,4.77000264061262,8
"Hombre",42,"100001-400000 habitantes","1100-1800€",1,"Tiene hijos/as menores","Trabaja","Educación secundaria","Muy de acuerdo","Casi inexistentes","Igual","Mejor","Mejor",2,10,"Católico/a no practicante",0,"VOX","Educación secundaria","Muy de acuerdo","Casi inexistentes","Igual","Mejor","Mejor",1,10,2
"Hombre",34,"100001-400000 habitantes","1801-2700€",1,"Tiene hijos/as menores","Trabaja","FP grado superior","Bastante de acuerdo","Pequeñas","Peor","Peor","Igual",5,4,"Ateo/a",3,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","FP grado superior","Bastante de acuerdo","Pequeñas","Peor","Peor","Igual",1,4,5
"Mujer",56,"100001-400000 habitantes",NA,NA,"Ninguno","Trabaja","Licenciatura","Poco de acuerdo","Pequeñas","Peor","Peor","Peor",8,6,"Católico/a practicante",NA,"PP","Licenciatura","Poco de acuerdo","Pequeñas","Peor","Peor","Peor",2.28715767083223,6,8
"Mujer",58,"100001-400000 habitantes","1801-2700€",0,"Ninguno","Trabaja","Bachillerato","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,8,"Católico/a no practicante",NA,"PP","Bachillerato","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,8,0
"Mujer",44,"100001-400000 habitantes","3901-5000€",3,"Tiene hijos/as menores","Trabaja","Máster oficial","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",9,3,"Ateo/a",2,"SUMAR (Podemos, IU, Más País, etc.)","Máster oficial","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",3,3,9
"Hombre",85,"100001-400000 habitantes","2701-3900€",0,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Bastante de acuerdo","Casi inexistentes","Igual","Mejor","Peor",0,10,"Católico/a practicante",NA,"PP","Licenciatura","Bastante de acuerdo","Casi inexistentes","Igual","Mejor","Peor",0,10,0
"Mujer",67,"2001-10000 habitantes","3901-5000€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Menos de 5 años escolarización","Poco de acuerdo","Bastante grandes","Mejor","Peor","Igual",2,5,"Católico/a no practicante",NA,"Voto nulo","Menos de 5 años escolarización","Poco de acuerdo","Bastante grandes","Mejor","Peor","Igual",3,5,2
