"SEXO","EDAD","TAMUNI","INGRESHOG","TARHOGENTREV_HH","HIJOMENOR","SITLAB","NIVELESTENTREV","GRADACDISC","GRADODESIGUALDAD","VALSALARIOS","VALPOSASC","VALOPEMP","ESCFEMINIS","ESCIDEOL","RELIGION","RECUVOTOG"
"Mujer",28,"100001-400000 habitantes","2701-3900€",3,"Tiene hijos/as menores","Trabaja","Grado universitario","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",8,10,"Católico/a practicante","PP"
"Mujer",60,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Trabaja","FP grado superior","Muy de acuerdo","Pequeñas","Peor","Peor","Igual",7,5,"Católico/a practicante","PP"
"Mujer",50,"100001-400000 habitantes","2701-3900€",5,"Ninguno","Trabaja","FP grado superior","Nada de acuerdo","Bastante grandes","Igual","Igual","Peor",8,3,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",41,"100001-400000 habitantes","2701-3900€",2,"Tiene hijos/as menores","Trabaja","Diplomaturas oficiales","Nada de acuerdo","Pequeñas","Igual","Peor","Peor",7,4,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",19,"100001-400000 habitantes","2701-3900€",2,"Ninguno","Estudiante","Bachillerato","Poco de acuerdo","Bastante grandes","Igual","Peor","Igual",7,3,"Agnóstico/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",52,"100001-400000 habitantes","1100-1800€",2,"Ninguno","En paro, ha trabajado antes","Máster oficial","Bastante de acuerdo","Pequeñas","Peor","Peor","Igual",5,10,"Católico/a practicante","PP"
"Mujer",64,"100001-400000 habitantes","Más de 5000€",5,"Ninguno","Trabajo doméstico no remunerado","Bachillerato","Nada de acuerdo","Bastante grandes","Igual","Igual","Igual",10,1,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",45,"100001-400000 habitantes","2701-3900€",2,"Ninguno","Estudiante","Educación secundaria","Poco de acuerdo","Muy grandes","Peor","Peor","Igual",10,NA,"Agnóstico/a","Otro partido"
"Hombre",41,"100001-400000 habitantes","1801-2700€",3,"Tiene hijos/as menores","Trabaja","FP grado superior","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",10,5,"Ateo/a","En blanco"
"Hombre",60,"100001-400000 habitantes","2701-3900€",1,"Ninguno","Trabaja","Doctorado","Muy de acuerdo","Pequeñas","Igual","Mejor","Mejor",0,5,"Católico/a practicante","PP"
