"ESTU";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"TAMUNI";"ENTREV";"TIPO_TEL";"SEXO";"EDAD";"P0";"P1";"P2";"P3_1";"P3_2";"P3_3";"P3_4";"P3_5";"P4";"P5";"P6_1";"P6_2";"P6_3";"P7_1";"P7_2";"P7_3";"P7_4";"P7_5";"P7_6";"P7_7";"P8_1";"P8_2";"P8_3";"P8_4";"P9_1";"P9_2";"P9_3";"P10_1";"P10_2";"P10_3";"P10_4";"P11_1";"P11_2";"P11_3";"P11_4";"P11_5";"P12_1";"P12_2";"P12_3";"P12_4";"P12_5";"P13_1";"P13_2";"P13_3";"P13_4";"P13_5";"P13_6";"P13_7";"P14_1";"P14_2";"P14_3";"P14_4";"P14_5";"P14_6";"P15_1";"P15_2";"P15_3";"P15_4";"ESCFEMINIS";"P17";"P17A";"SITCONV";"TARHOGENTREV_1";"TARHOGENTREV_2";"TARHOGENTREV_8";"TARHOGENTREV_9";"TARHOGENTREV_HH";"TARHOGENTREV_MM";"TARHOGPAREJ_1";"TARHOGPAREJ_2";"TARHOGPAREJ_8";"TARHOGPAREJ_9";"TARHOGPAREJ_HH";"TARHOGPAREJ_MM";"HIJOMENOR_1";"HIJOMENOR_97";"HIJOMENOR_99";"HIJOMENOR_N";"CUIDADOHIJOS_1";"CUIDADOHIJOS_2";"CUIDADOHIJOS_8";"CUIDADOHIJOS_9";"CUIDADOHIJOS_HH";"CUIDADOHIJOS_MM";"CUIDADOHIJOSPAR_1";"CUIDADOHIJOSPAR_2";"CUIDADOHIJOSPAR_7";"CUIDADOHIJOSPAR_8";"CUIDADOHIJOSPAR_9";"CUIDADOHIJOSPAR_HH";"CUIDADOHIJOSPAR_MM";"P22";"TAREASCUI_1";"TAREASCUI_2";"TAREASCUI_8";"TAREASCUI_9";"TAREASCUI_HH";"TAREASCUI_MM";"P23_1";"P23_2";"P23_3";"P23_4";"P23_5";"P23_6";"P23_7";"P23_8";"P23_9";"ESCIDEOL";"PARTICIPACIONG";"RECUVOTOG";"ESCUELA";"NIVELESTENTREV";"RELIGION";"PRACTICARELIG6";"SITLAB";"RELALAB";"CNO11";"TIPOJOR";"INGRESHOG";"CLASESOCIAL";"PAISNAC";"PAISNAC2";"SINCERIDAD";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_16";"IA_C2B_17";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4";"TARHOGENTREV";"TARHOGPAREJ";"HIJOMENOR";"CUIDADOHIJOS";"CUIDADOHIJOSPAR";"TAREASCUI";"RECUVOTOGR";"RECUERDO";"ESTUDIOS";"CNO11R";"CLASESUB";"PESO";"PESOHOM";"PESOMUJ"
3428;2821;134;1;4;13;2;5;0;2;2;28;3;2;1;10;0;10;10;10;1;3;1;5;2;3;3;3;3;3;2;2;1;1;3;3;2;2;2;1;1;1;1;1;1;3;3;1;3;1;2;3;3;2;3;3;2;3;3;1;2;2;2;2;2;2;2;1;3;4;8;1;1;4;1;2;2;2;3;0;1;1;2;2;1;30;1;2;2;2;1;2;2;2;7;0;1;2;2;2;2;5;0;2;0;0;0;0;96;96;2;2;3;2;2;2;2;2;3;10;4;0;3;10;1;6;1;1;4;1;3;12;2;343;1;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;1;1;0;56;0;0;0;1;41;4;"";"";6;11;23;1;23;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;180;90;2;420;300;9996;0;9996;6;4;5;1,06524;1,0;1,12766
3428;19046;956;1;4;13;2;5;0;1;2;60;1;8;2;0;0;0;5;98;3;2;1;1;1;3;3;2;3;3;3;2;1;3;3;8;2;2;2;1;1;1;1;1;1;1;1;2;3;1;2;1;8;3;3;3;3;3;3;3;2;2;2;2;2;2;2;4;4;4;7;1;1;3;1;1;2;2;3;30;1;1;2;2;3;30;2;1;2;"";0;0;0;0;96;96;0;0;0;0;0;96;96;2;0;0;0;0;96;96;3;3;3;3;3;3;3;3;3;5;1;2;3;7;1;4;1;1;4;1;4;3;1;0;2;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;17;0;0;0;0;16;0;"";"";7;11;23;2;24;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;210;210;0;9996;9996;9996;2;2;5;4;2;0,97924;1,0;1,0314
3428;20465;1031;1;4;13;2;5;0;2;2;50;1;1;1;10;10;10;10;10;2;3;1;5;1;2;2;3;2;3;2;2;1;3;3;3;1;1;1;1;1;1;1;2;2;2;2;3;3;3;3;3;3;2;3;3;2;3;2;3;2;2;2;2;2;1;2;3;4;4;8;1;1;4;1;2;2;2;5;0;1;2;2;2;5;0;2;1;2;"";0;0;0;0;96;96;0;0;0;0;0;96;96;1;1;1;2;2;20;30;3;3;3;3;3;3;3;3;3;3;1;1;3;7;2;2;1;1;3;2;3;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;5;0;"";"";7;11;23;2;24;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;300;300;0;9996;9996;1230;1;1;5;3;2;0,96433;1,0;1,01691
3428;31462;1590;1;4;13;2;5;0;2;2;41;1;1;2;8;6;7;9;9;3;3;1;5;1;2;3;3;3;3;3;2;1;3;3;1;2;2;1;1;1;1;1;2;2;3;2;3;3;3;3;3;3;2;2;2;2;3;2;1;2;2;2;2;2;2;3;3;4;4;7;1;1;4;1;2;2;2;2;0;2;1;2;2;0;30;1;2;2;2;1;2;2;2;12;0;1;2;2;2;2;5;0;2;0;0;0;0;96;96;3;3;3;3;3;3;3;3;3;4;1;1;3;9;6;0;1;1;2;2;3;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;"";"";8;11;23;3;23;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;120;30;2;720;300;9996;1;1;6;2;3;0,93053;1,0;0,99201
3428;33504;1684;1;4;13;2;5;0;2;2;19;1;1;2;6;5;8;10;7;2;2;1;4;2;2;3;2;2;3;3;2;1;1;3;3;1;2;1;1;1;1;1;3;1;3;1;4;3;1;2;3;3;2;1;2;2;1;2;1;7;1;1;1;2;2;1;2;7;3;7;1;1;8;1;1;2;2;2;30;0;0;0;0;96;96;2;1;2;"";0;0;0;0;96;96;0;0;0;0;0;96;96;2;0;0;0;0;96;96;3;3;1;1;2;3;2;3;1;3;1;1;3;6;4;0;6;0;0;0;8;3;1;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;7;0;"";"";7;11;23;2;19;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;150;9996;0;9996;9996;9996;1;1;4;13;2;1,55634;1,0;1,64559
3428;35292;1775;1;4;13;2;5;0;2;2;52;1;2;2;5;4;5;8;3;3;1;1;2;1;3;3;2;3;3;2;2;1;1;3;1;2;1;3;1;1;1;1;2;2;1;1;2;3;3;3;3;3;2;3;3;1;3;3;3;1;2;2;2;2;2;3;2;3;4;5;2;0;6;1;2;2;2;2;0;0;0;0;0;96;96;2;1;2;"";0;0;0;0;96;96;0;0;0;0;0;96;96;1;1;2;2;2;2;0;3;3;3;3;3;3;3;3;3;10;1;2;3;13;1;3;4;0;0;0;5;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";7;11;23;2;23;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;120;9996;0;9996;9996;120;2;2;6;16;2;0,96433;1,0;1,01691
3428;37633;1897;1;4;13;2;5;0;2;2;64;1;1;1;10;10;10;10;10;2;3;1;5;2;2;2;2;2;2;1;1;1;1;1;3;1;1;7;1;1;1;1;4;1;4;1;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;4;4;7;4;10;1;1;5;1;2;2;2;5;0;1;2;2;2;1;0;2;1;2;"";0;0;0;0;96;96;0;0;0;0;0;96;96;1;2;2;2;1;99;99;3;3;3;3;3;3;3;3;3;1;1;1;3;6;2;1;7;0;0;0;1;3;1;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;19;0;0;0;0;18;1;"";"";7;11;23;2;20;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;300;60;0;9996;9996;9999;1;1;4;14;2;0,97924;1,0;1,0314
3428;40018;2017;1;4;13;2;5;0;1;2;45;1;1;2;4;4;4;5;7;1;2;1;4;1;3;3;2;3;2;3;2;1;3;3;3;1;3;2;1;1;1;1;3;1;4;2;3;3;1;2;1;3;3;1;1;3;3;3;1;2;2;1;2;2;2;1;2;1;2;10;1;2;5;1;2;2;2;2;0;1;2;2;2;3;0;2;1;2;"";0;0;0;0;96;96;0;0;0;0;0;96;96;2;0;0;0;0;96;96;2;2;3;3;2;2;2;2;3;99;1;8995;3;4;4;0;6;0;0;0;3;4;2;340;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";7;11;23;2;20;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;120;180;0;9996;9996;9996;8995;8995;3;13;3;0,96433;1,0;1,01691
3428;41526;2085;1;4;13;2;5;0;2;1;41;1;1;2;5;0;10;10;10;1;1;1;5;1;3;3;3;3;3;3;2;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3;3;3;3;3;3;3;2;1;2;2;2;1;0;0;0;0;10;1;2;4;1;2;2;2;3;0;1;2;2;2;2;0;1;2;2;1;1;2;2;2;4;0;1;2;2;2;2;3;0;2;0;0;0;0;96;96;3;3;3;3;3;3;3;3;3;5;1;8996;3;7;6;0;1;1;5;1;4;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;5;0;"";"";7;11;23;2;15;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;180;120;1;240;180;9996;8996;8996;5;5;2;0,92943;0,89312;1,0
3428;62946;2970;1;4;13;2;5;0;1;1;60;1;2;2;2;2;0;5;2;3;2;2;1;1;2;1;1;3;2;1;2;1;1;1;3;2;2;2;1;1;1;1;8;2;2;2;2;3;3;3;1;3;3;3;3;3;3;3;1;2;2;2;2;2;2;0;0;0;0;0;2;0;1;1;2;2;2;1;0;0;0;0;0;96;96;2;1;2;"";0;0;0;0;96;96;0;0;0;0;0;96;96;2;0;0;0;0;96;96;3;3;3;3;3;3;3;3;3;5;2;0;3;14;1;2;1;1;2;1;3;3;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;"";"";8;11;23;3;17;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;60;9996;0;9996;9996;9996;0;9997;6;2;2;0,94887;0,90907;1,0
